Sentiment,User,Post Content
Negative,@Binlabour,"Good to see some opposition to this, seeing as there is no opposition from the opposition! #ENDTHELOCKDOWN"
Negative,@Akwilliams924,Good. Stop this BS. 60 million Americans got H1N1. No masks. No shutdown. Same actual numbers died.
Negative,@Friedpizzabites,NO MORE LOCKDOWNS!!!
Negative,@Gasrealtor1024,My Corona Advisor says no more lockdowns
Negative,@Gigi2A,#supportsmallbusiness #reopenamerica #plandemic
Negative,@Andreatoman,Sign of the times. #opentheeconomy #reopenamerica #openamericanow #closingmycountryopenedmyeyes
Negative,@Andreatoman,Sign of the times. #opentheeconomy #reopenamerica #openamericanow #closingmycountryopenedmyeyes
Negative,@FritzieWatched,#HCQIsSafeEffective #COVID19 #ChiComFlu #WeComplyThousandsDie #MasksDontWork #LockdownsDontWork #OpenUpNow #StillMyPresident #StopTheSteal #CountEveryLegalVote #LegalVotesMatter #PresidentDonaldTrump #PromisesKept #PeacePOTUS #LawAndOrder #MAGA #Election2020
Positive,@DiannaLara,"Before COVID, if I had complained to a mental health professional that I was upset with my family or friends because they refused to wear a mask around me during flu season, I probably would have been told that I was being co-dependent and should take responsibility for my own fear, do what I feel is appropriate for me to stay healthy (like stay home), and not expect others to change their behavior just so I can feel safe. But not in 2020. We’re raising up a generation of malignant co-dependents who not only want to make others responsible to make them feel safe, but advocate for punishing anyone who won’t fall in line."
Positive,@DiannaLara,"Before COVID, if I had complained to a mental health professional that I was upset with my family or friends because they refused to wear a mask around me during flu season, I probably would have been told that I was being co-dependent and should take responsibility for my own fear, do what I feel is appropriate for me to stay healthy (like stay home), and not expect others to change their behavior just so I can feel safe. But not in 2020. We’re raising up a generation of malignant co-dependents who not only want to make others responsible to make them feel safe, but advocate for punishing anyone who won’t fall in line."
